criticality_rank,nearest_pharmacy_id,n_grid_squares,population_served,mean_dist_to_1st_km,mean_dist_to_2nd_km,mean_extra_distance_km,max_extra_distance_km,person_km_impact,namn,kommun,lan,lat,long
128,710,301,8777,6.846624786417764,15.039859841523729,8.193235055105967,16.276902902802036,71912.02407866507,Kronans Apotek Frövi,Lindesbergs kommun,Örebro,59.46630184613788,15.362992039097554
129,109,217,5818,5.784706165997452,18.081159051540038,12.296452885542584,20.043179724122197,71540.76288808676,Apotek Hjärtat Laxå,Laxå kommun,Örebro,58.98548639353715,14.619982414624909
130,321,106,8888,3.1958987917522683,11.237990231122799,8.04209143937053,10.352363898365164,71478.10871312527,Apoteket Illern,Surahammars kommun,Västmanlands,59.70770304699452,16.22139342047403
131,161,173,9874,4.713396551558511,11.912862985104244,7.199466433545733,13.14946297620258,71087.53156483057,Apotek Hjärtat Skärblacka,Norrköpings kommun,Östergötlands,58.58110325734048,15.914107293941166
132,542,89,12207,3.507947875672285,9.32843316261442,5.820485286942134,8.569323480699204,71050.66389770263,Apoteket Åsa,Kungsbacka kommun,Hallands,57.353801951411114,12.1084062440219
133,482,175,12773,4.225526299864628,9.778208146485383,5.552681846620755,6.564644284394603,70924.4052268869,"Apoteksgruppen Färjestaden, Ölands köpstad",Mörbylånga kommun,Kalmar,56.652012675830875,16.471088032141427
134,120,162,8563,3.63529434469213,11.896667334927606,8.261372990235476,13.146873474771928,70742.13691538638,Apotek Hjärtat Ljungskile,Uddevalla kommun,Västra Götalands,58.224203006272255,11.920497953186665
135,889,441,6498,10.938908384510729,21.73494881637319,10.796040431862464,21.547007163134992,70152.67072624229,Apoteksgruppen Ullared,Falkenbergs kommun,Hallands,57.136925333808385,12.718762445659944
136,450,164,3699,10.623601533014563,29.35634462831537,18.73274309530081,27.999379904752864,69292.4167095177,Apoteket Mården,Bräcke kommun,Jämtlands,62.7500295492407,15.418049072745452
137,865,330,10543,7.834445133750366,14.405087859813227,6.57064272606286,12.145324359204881,69274.28626088073,"Apoteksgruppen Veddige, Vårdcentralen",Varbergs kommun,Hallands,57.263999826247556,12.32139803630405
138,208,232,7565,7.625554663833801,16.77172568614219,9.146171022308389,16.236940705256202,69190.78378376296,Apotek Hjärtat Österbybruk,Östhammars kommun,Uppsala,60.1964035095647,17.895906633569457
139,726,205,5466,9.137854530231527,21.783231798096022,12.645377267864495,25.692693104297977,69119.63214614733,Kronans Apotek Hedesunda Hälsocentral,Gävle kommun,Gävleborgs,60.39539826474916,17.004899605392282
140,650,159,10176,4.077676848690307,10.83335514962872,6.7556783009384125,9.622060827793355,68745.78239034928,Apoteket Vågen,Degerfors kommun,Örebro,59.23720353755047,14.43259475299819
141,601,210,10253,6.298568481684674,12.985940285082153,6.687371803397478,10.475068807375362,68565.62310023434,"Apoteksgruppen Gnosjö, Järnvägsgatan",Gnosjö kommun,Jönköpings,57.355799226036666,13.739897257764653
142,1384,206,8965,5.381882857788495,13.008615418232656,7.62673256044416,10.609073852387684,68373.6574043819,Apoteksgruppen Kolmården,Norrköpings kommun,Östergötlands,58.67522120139376,16.364030888911778
143,677,162,8108,4.032161772318014,12.433274279646197,8.401112507328182,11.702385467266543,68116.2202094169,"Apoteksgruppen Smedjebacken, Busstorget",Smedjebackens kommun,Dalarnas,60.142004347767305,15.413697045888329
144,323,44,12929,2.214048666145168,7.464314149301303,5.250265483156135,6.900876606870105,67880.68243172567,"Apoteksgruppen Öckerö, Norgårdsvägen",Öckerö kommun,Västra Götalands,57.70558254200073,11.656459836908605
145,805,122,6828,1.8723185840865966,11.641626922207422,9.769308338120826,11.713623812245949,66704.837332689,Kronans Apotek Sävsjö,Sävsjö kommun,Jönköpings,57.40125304756831,14.663501728233815
146,406,132,10517,3.4076026128594763,9.711263233841903,6.303660620982426,7.913667609595972,66295.59875087217,Apoteket Leksand,Leksands kommun,Dalarnas,60.73060033830937,14.997708242110464
147,521,240,5557,6.43614930199349,18.320772793386205,11.884623491392716,19.67407310279218,66042.85274166933,"Apoteksgruppen Åseda, Olofsgatan",Uppvidinge kommun,Kronobergs,57.17179288184403,15.344531994946163
